locus_id	locus_coord	chrom	start	end	strand	n_exons	length_nt	exon_structure	nearest_gene_name	nearest_distance_bp	control_max_tpm	treat_median_tpm	treat_n_detected	junction_support	de_status	coding_label	longest_orf_aa	coding_score	named_overlap
RSDL.6	chr4:56457723-56542386:-	chr4	56457723	56542386	-	3	273	56457723-56457815,56513902-56514013,56542319-56542386	Gm69782	66521	1.267549	2.0658895	3	3,1		noncoding	74	-0.122969	none
RSDL.63	chr15:19159115-19159992:-	chr15	19159115	19159992	-	2	147	19159115-19159221,19159953-19159992	Gm62277	89025	2.078034	0.908188	2	2		coding	21	0.101503	none
RSDL.71	chr18:70503773-70522732:-	chr18	70503773	70522732	-	2	287	70503773-70503870,70522544-70522732	ENSMUSG00000127325	23297	3.019874	0.616425	2	2		coding	26	0.220782	none
RSDL.76	chr2:126718555-126724349:+	chr2	126718555	126724349	+	2	798	126718555-126718902,126723900-126724349	Gm14212	11306	1.73454	0.549056	4	2		noncoding	49	-0.228854	none
RSDL.79	chr2:173949601-173950415:+	chr2	173949601	173950415	+	2	285	173949601-173949815,173950346-173950415	Npepl1	1328	2.428356	0.0	1	1		coding	27	0.059238	none
RSDL.80	chr3:35085944-35087396:+	chr3	35085944	35087396	+	2	246	35085944-35086120,35087328-35087396	Gm66173	45351	1.191357	0.5426975	2	2		coding	56	0.357447	none
RSDL.84	chr5:103541720-103549002:+	chr5	103541720	103549002	+	2	903	103541720-103541781,103548162-103549002	Gm73323	14284	1.353138	0.5881805	3	2		noncoding	80	-0.024974	none
RSDL.85	chr6:39272846-39274836:-	chr6	39272846	39274836	-	2	632	39272846-39273022,39274382-39274836	Gm53067	7938	2.190131	1.6762145	4	2		noncoding	61	-0.153287	none
RSDL.86	chr6:41174289-41178931:-	chr6	41174289	41178931	-	2	287	41174289-41174324,41178681-41178931	Gm67876	75509	12.057169	5.58491	4	2		noncoding	39	-0.487941	none
RSDL.87	chr8:42870700-42874135:+	chr8	42870700	42874135	+	2	161	42870700-42870736,42874012-42874135	Gm6180	170254	1.820335	0.829215	2	2		coding	41	0.087529	none
RSDL.89	chr9:96261577-96269214:-	chr9	96261577	96269214	-	2	275	96261577-96261720,96269084-96269214	Gm68800	3530	1.25833	0.0	1	1		noncoding	40	-0.134193	none
RSDL.9	chr12:96832067-96841659:-	chr12	96832067	96841659	-	2	471	96832067-96832432,96841555-96841659	Gm6863	47537	3.680271	1.2855835	4	5		coding	29	0.075545	none
