residual_id	locus_coord	chrom	start	end	strand	n_junctions	n_exons	length_nt	exon_structure	intron_structure	nearest_gene_name	nearest_distance_bp	control_max	control_n_detected	cohort	treat_sum	treat_n_detected	n_shared_site	status
RSDL.11	chr2:73419650-73422167:+	chr2	73419650	73422167	+	4	5	1192	73419650-73419791,73420062-73420243,73420351-73420456,73420886-73421281,73421802-73422167	73419792-73420061,73420244-73420350,73420457-73420885,73421282-73421801	Chrna1os	228.0	12	4	shared	36	4	0	unassembled
RSDL.12	chr2:144179367-144187527:+	chr2	144179367	144187527	+	4	5	1708	144179367-144179417,144183132-144183315,144185030-144185326,144186190-144186297,144186460-144187527	144179418-144183131,144183316-144185029,144185327-144186189,144186298-144186459	1700108N11Rik	4850.0	2	3	shared	24	4	0	unassembled
RSDL.13	chr3:87122701-87129339:-	chr3	87122701	87129339	-	4	4	1060	87122701-87122905,87123747-87124214,87124739-87125039,87129254-87129339	87122906-87123746,87124215-87124738,87125040-87129253	Gm10705	7593.0	3	3	shared	22	4	1	unassembled
RSDL.14	chr2:173211286-173219680:-	chr2	173211286	173219680	-	4	4	5049	173211286-173211698,173211796-173216027,173216186-173216310,173219402-173219680	173211699-173211795,173216028-173216185,173216311-173219401	Gm75056	17781.0	1	1	shared	20	3	2	unassembled
RSDL.15	JH584295.1:1-1001:+	JH584295.1	1	1001	+	3	4	253	1-109,565-633,708-752,972-1001	110-564,634-707,753-971			52	4	shared	612	4	0	unassembled
RSDL.16	chr7:144736612-144740260:-	chr7	144736612	144740260	-	3	2	1056	144736612-144737160,144739754-144740260	144737161-144739753	Tpcn2	507.0	5	4	shared	46	4	2	unassembled
RSDL.17	chr17:35737745-35755320:+	chr17	35737745	35755320	+	3	4	15152	35737745-35737806,35737974-35738243,35738437-35753091,35755156-35755320	35737807-35737973,35738244-35738436,35753092-35755155	H2-Q10	25803.0	11	4	shared	31	3	0	unassembled
RSDL.18	chr13:85172216-85172842:-	chr13	85172216	85172842	-	3	2	559	85172216-85172418,85172487-85172842	85172419-85172486	Gm4066	730.0	5	2	shared	13	3	1	unassembled
RSDL.19	chr15:13432046-13442734:-	chr15	13432046	13442734	-	3	3	476	13432046-13432234,13433526-13433624,13442547-13442734	13432235-13433525,13433625-13442546	Gm8238	13292.0	3	2	shared	13	3	2	unassembled
RSDL.20	chrX:134880835-134884317:+	chrX	134880835	134884317	+	3	4	1649	134880835-134881014,134881232-134881380,134881458-134881588,134883129-134884317	134881015-134881231,134881381-134881457,134881589-134883128	Gm15016	6167.0	4	3	shared	12	3	0	unassembled
RSDL.21	chr17:14766548-14833970:+	chr17	14766548	14833970	+	3	4	18117	14766548-14766845,14814404-14816770,14818090-14833280,14833710-14833970	14766846-14814403,14816771-14818089,14833281-14833709	Gm38551	50792.0	1	2	shared	12	2	0	unassembled
RSDL.22	chr11:31655462-31663458:-	chr11	31655462	31663458	-	3	4	6751	31655462-31657462,31657886-31657989,31658076-31662490,31663228-31663458	31657463-31657885,31657990-31658075,31662491-31663227	Gm35131	3463.0	4	3	shared	11	2	0	unassembled
RSDL.23	chr4:133240282-133245586:-	chr4	133240282	133245586	-	3	4	373	133240282-133240359,133241212-133241363,133243648-133243703,133245500-133245586	133240360-133241211,133241364-133243647,133243704-133245499	Nudc	13581.0	1	1	shared	11	2	0	unassembled
RSDL.24	chr5:137248470-137252920:-	chr5	137248470	137252920	-	3	4	2631	137248470-137248778,137248886-137249017,137250615-137250803,137250920-137252920	137248779-137248885,137249018-137250614,137250804-137250919	Muc3a	1926.0	6	3	shared	11	2	0	unassembled
RSDL.25	chr15:38474009-38478341:+	chr15	38474009	38478341	+	3	4	1359	38474009-38474464,38474947-38475122,38475653-38475734,38477697-38478341	38474465-38474946,38475123-38475652,38475735-38477696	Gm49077	41333.0	0	0	silent	10	3	0	unassembled
RSDL.26	chr4:56456546-56542386:-	chr4	56456546	56542386	-	3	4	495	56456546-56456767,56457723-56457815,56513902-56514013,56542319-56542386	56456768-56457722,56457816-56513901,56514014-56542318	Gm69782	66589.0	1	2	shared	10	3	0	unassembled
RSDL.27	chrX:169094628-169097069:-	chrX	169094628	169097069	-	3	4	1336	169094628-169095128,169095588-169095871,169095963-169096332,169096889-169097069	169095129-169095587,169095872-169095962,169096333-169096888	Gm61591	501.0	2	4	shared	9	3	0	unassembled
RSDL.28	chr3:6272160-6310346:+	chr3	6272160	6310346	+	3	3	2163	6272160-6272227,6305605-6305698,6308346-6310346	6272228-6305604,6305699-6308345	Gm46796	8017.0	3	3	shared	9	2	2	unassembled
RSDL.29	chr11:83631513-83634847:+	chr11	83631513	83634847	+	2	2	241	83631513-83631683,83634778-83634847	83631684-83634777	Gm74130	2416.0	51	4	shared	112	4	1	unassembled
RSDL.30	chr8:93552817-93553901:+	chr8	93552817	93553901	+	2	2	913	93552817-93553089,93553262-93553901	93553090-93553261	Mmp2	640.0	6	2	shared	28	4	1	unassembled
RSDL.31	chr12:110105672-110113033:-	chr12	110105672	110113033	-	2	3	265	110105672-110105746,110107051-110107120,110112914-110113033	110105747-110107050,110107121-110112913	3110009F21Rik	5174.0	2	3	shared	23	4	0	unassembled
RSDL.32	chrX:162756074-162759446:+	chrX	162756074	162759446	+	2	2	2885	162756074-162757497,162757986-162759446	162757498-162757985	Gm56686	1424.0	4	4	shared	20	4	1	unassembled
RSDL.33	chr1:173652252-173654494:-	chr1	173652252	173654494	-	2	3	302	173652252-173652400,173653591-173653635,173654387-173654494	173652401-173653590,173653636-173654386	Gm7897	2978.0	3	3	shared	19	3	0	unassembled
RSDL.34	chr5:136661498-136704191:+	chr5	136661498	136704191	+	2	3	380	136661498-136661529,136665489-136665622,136703978-136704191	136661530-136665488,136665623-136703977	Myl10	14175.0	2	4	shared	18	4	0	unassembled
RSDL.35	chr2:157245001-157258507:+	chr2	157245001	157258507	+	2	2	407	157245001-157245277,157258378-157258507	157245278-157258377	Src	1977.0	1	1	shared	15	3	1	unassembled
RSDL.36	chr4:11176674-11182572:-	chr4	11176674	11182572	-	2	3	4134	11176674-11178674,11179878-11180009,11180572-11182572	11178675-11179877,11180010-11180571	Ints8	16249.0	7	4	shared	14	3	0	unassembled
RSDL.37	chr7:129688302-129696724:-	chr7	129688302	129696724	-	2	3	837	129688302-129688787,129695674-129695825,129696526-129696724	129688788-129695673,129695826-129696525	Gm73731	26855.0	2	4	shared	14	3	0	unassembled
RSDL.38	chr16:45033194-45044152:+	chr16	45033194	45044152	+	2	3	7432	45033194-45033447,45036560-45043666,45044082-45044152	45033448-45036559,45043667-45044081	Btla	393.0	2	3	shared	12	4	0	unassembled
RSDL.39	chr3:51420722-51422358:+	chr3	51420722	51422358	+	2	3	603	51420722-51420903,51421380-51421517,51422076-51422358	51420904-51421379,51421518-51422075	Gm65568	1807.0	1	3	shared	12	3	0	unassembled
RSDL.40	chr7:28409136-28412869:+	chr7	28409136	28412869	+	2	2	703	28409136-28409281,28412313-28412869	28409282-28412312	Fbxo17	3813.0	4	3	shared	11	4	1	unassembled
RSDL.41	chr1:190869863-190872094:-	chr1	190869863	190872094	-	2	3	704	190869863-190870268,190870409-190870610,190871999-190872094	190870269-190870408,190870611-190871998	Gm31640	6538.0	5	4	shared	11	2	0	unassembled
RSDL.42	chr1:45055552-45068120:+	chr1	45055552	45068120	+	2	3	1720	45055552-45055783,45064663-45064812,45066783-45068120	45055784-45064662,45064813-45066782	Gm5268	150444.0	3	3	shared	7	3	0	unassembled
RSDL.43	chr12:103465626-103467209:+	chr12	103465626	103467209	+	2	2	484	103465626-103465877,103466978-103467209	103465878-103466977	Gm47267	12832.0	1	1	shared	6	2	1	unassembled
RSDL.44	chr2:75468699-75471922:+	chr2	75468699	75471922	+	2	2	2376	75468699-75469073,75469922-75471922	75469074-75469921	Gm39858	1367.0	1	2	shared	6	2	0	unassembled
RSDL.45	chr11:48684121-48690860:-	chr11	48684121	48690860	-	2	2	2654	48684121-48686121,48690208-48690860	48686122-48690207	Trim41	7023.0	1	2	shared	5	2	1	unassembled
RSDL.46	chr15:19157435-19159992:-	chr15	19157435	19159992	-	2	3	505	19157435-19157792,19159115-19159221,19159953-19159992	19157793-19159114,19159222-19159952	Gm62277	87703.0	1	2	shared	5	2	0	unassembled
RSDL.47	chr18:80592963-80597517:-	chr18	80592963	80597517	-	2	3	1597	80592963-80593679,80594062-80594803,80597380-80597517	80593680-80594061,80594804-80597379	Gm41790	5611.0	1	2	shared	5	2	0	unassembled
RSDL.48	chr6:99646384-99647371:-	chr6	99646384	99647371	-	2	2	506	99646384-99646528,99647011-99647371	99646529-99647010	Eif4e3	2703.0	2	1	shared	5	2	1	unassembled
RSDL.49	chr11:68867775-68870021:-	chr11	68867775	68870021	-	2	3	501	68867775-68867867,68869117-68869221,68869719-68870021	68867868-68869116,68869222-68869718	Rangrf	1856.0	2	2	shared	4	2	0	unassembled
RSDL.50	chr2:26625274-26626761:+	chr2	26625274	26626761	+	1	2	1372	26625274-26626452,26626569-26626761	26626453-26626568	Snhg7os	84320.0	1	1	shared	260	2	0	unassembled
RSDL.51	chr9:110540676-110547337:-	chr9	110540676	110547337	-	1	2	2747	110540676-110541421,110545337-110547337	110541422-110545336	Pth1r	5430.0	2	3	shared	26	4	0	unassembled
RSDL.52	chr7:28932036-28937599:+	chr7	28932036	28937599	+	1	2	217	28932036-28932101,28937449-28937599	28932102-28937448	Yif1b	281.0	6	4	shared	19	4	0	unassembled
RSDL.53	chr2:29748190-29757718:+	chr2	29748190	29757718	+	1	2	649	29748190-29748738,29757619-29757718	29748739-29757618	Gm75657	1149.0	11	4	shared	18	4	0	unassembled
RSDL.54	chr5:104471321-104473194:-	chr5	104471321	104473194	-	1	2	1158	104471321-104471846,104472563-104473194	104471847-104472562	Gm71699	4701.0	3	3	shared	14	4	0	unassembled
RSDL.55	chr15:77245223-77247803:-	chr15	77245223	77247803	-	1	2	2371	77245223-77245592,77245803-77247803	77245593-77245802	Gm63097	2218.0	2	2	shared	11	4	0	unassembled
RSDL.56	chr11:50443969-50447913:-	chr11	50443969	50447913	-	1	2	2223	50443969-50445969,50447692-50447913	50445970-50447691	Gm12198	42433.0	3	4	shared	10	4	0	unassembled
RSDL.57	chr2:167611748-167615109:-	chr2	167611748	167615109	-	1	2	3058	167611748-167613748,167614053-167615109	167613749-167614052	Gm32287	1315.0	2	2	shared	9	4	0	unassembled
RSDL.58	chr5:7542928-7543544:+	chr5	7542928	7543544	+	1	2	538	7542928-7543172,7543252-7543544	7543173-7543251	Tex47	181666.0	3	3	shared	9	4	0	unassembled
RSDL.59	chr11:23808335-23810142:-	chr11	23808335	23810142	-	1	2	1619	23808335-23809494,23809684-23810142	23809495-23809683	Papolg	459.0	6	4	shared	8	3	0	unassembled
RSDL.60	chr9:102709292-102710865:+	chr9	102709292	102710865	+	1	2	341	102709292-102709471,102710705-102710865	102709472-102710704	Ryk	1297.0	0	0	silent	8	3	0	unassembled
RSDL.61	JH584304.1:60114-62083:-	JH584304.1	60114	62083	-	1	2	1049	60114-61060,61982-62083	61061-61981	ENSMUSG00000095041	947.0	3	3	shared	8	2	0	unassembled
RSDL.62	chr12:115766701-115770294:+	chr12	115766701	115770294	+	1	2	753	115766701-115766701,115769543-115770294	115766702-115769542	Gm18341	9031.0	4	3	shared	7	3	0	unassembled
RSDL.63	chr15:103660999-103666967:-	chr15	103660999	103666967	-	1	2	667	103660999-103661454,103666757-103666967	103661455-103666756	Gm49275	91045.0	1	1	shared	7	3	0	unassembled
RSDL.64	chr18:6665440-6667684:-	chr18	6665440	6667684	-	1	2	2128	6665440-6667440,6667558-6667684	6667441-6667557	Gm50077	20285.0	4	1	shared	6	4	0	unassembled
RSDL.65	MU069435.1:1-1060:+	MU069435.1	1	1060	+	1	2	997	1-302,366-1060	303-365			2	3	shared	6	3	0	unassembled
RSDL.66	chr15:82689947-82692636:-	chr15	82689947	82692636	-	1	2	2302	82689947-82690542,82690931-82692636	82690543-82690930	Tcf20	1706.0	7	3	shared	6	3	0	unassembled
RSDL.67	chr15:101001965-101003131:+	chr15	101001965	101003131	+	1	2	476	101001965-101002351,101003043-101003131	101002352-101003042	Ankrd33	10593.0	2	2	shared	6	3	0	unassembled
RSDL.68	chr2:84321142-84325199:-	chr2	84321142	84325199	-	1	2	2374	84321142-84322322,84324007-84325199	84322323-84324006	Gm13710	7082.0	3	4	shared	6	3	0	unassembled
RSDL.69	chr8:122567925-122570676:+	chr8	122567925	122570676	+	1	2	2244	122567925-122569922,122570431-122570676	122569923-122570430	Gm42047	1998.0	7	4	shared	6	3	0	unassembled
RSDL.70	chr9:6524597-6535043:+	chr9	6524597	6535043	+	1	2	985	6524597-6524717,6534180-6535043	6524718-6534179	Gm21089	60057.0	2	3	shared	6	3	0	unassembled
RSDL.71	chr1:44865355-44867623:-	chr1	44865355	44867623	-	1	2	2185	44865355-44867264,44867349-44867623	44867265-44867348	Gm71015	1921.0	5	4	shared	6	2	0	unassembled
RSDL.72	chr12:69286384-69287404:+	chr12	69286384	69287404	+	1	2	803	69286384-69286478,69286697-69287404	69286479-69286696	Klhdc1	1253.0	1	2	shared	6	2	0	unassembled
RSDL.73	chr8:120618565-120623212:-	chr8	120618565	120623212	-	1	2	877	120618565-120619249,120623021-120623212	120619250-120623020	Gm64027	30409.0	4	4	shared	6	2	0	unassembled
RSDL.74	chrX:149703507-149707615:-	chrX	149703507	149707615	-	1	2	3044	149703507-149705135,149706201-149707615	149705136-149706200	Gm8424	1415.0	3	2	shared	6	2	0	unassembled
RSDL.75	chr11:94811614-94812153:-	chr11	94811614	94812153	-	1	2	403	94811614-94811902,94812040-94812153	94811903-94812039	Gm46293	7221.0	2	2	shared	5	4	0	unassembled
RSDL.76	chr10:82447483-82448907:-	chr10	82447483	82448907	-	1	2	706	82447483-82447929,82448649-82448907	82447930-82448648	Gm67745	259.0	1	1	shared	5	3	0	unassembled
RSDL.77	chr12:96832067-96841659:-	chr12	96832067	96841659	-	1	2	471	96832067-96832432,96841555-96841659	96832433-96841554	Gm6863	47642.0	0	0	silent	5	3	0	unassembled
RSDL.78	chr12:103413231-103417156:+	chr12	103413231	103417156	+	1	2	1113	103413231-103414264,103417078-103417156	103414265-103417077	Ifi27	6465.0	4	2	shared	5	3	0	unassembled
RSDL.79	chr14:67691995-67702652:+	chr14	67691995	67702652	+	1	2	469	67691995-67692160,67702350-67702652	67692161-67702349	Gm38409	11972.0	5	1	shared	5	3	0	unassembled
RSDL.80	chr15:10420617-10422549:-	chr15	10420617	10422549	-	1	2	1274	10420617-10420983,10421643-10422549	10420984-10421642	Dnajc21	25199.0	2	1	shared	5	3	0	unassembled
RSDL.81	chr5:113943022-113946186:-	chr5	113943022	113946186	-	1	2	1966	113943022-113944085,113945285-113946186	113944086-113945284	Tmem119	5508.0	4	4	shared	5	3	0	unassembled
RSDL.82	chr8:107588016-107590924:-	chr8	107588016	107590924	-	1	2	2475	107588016-107590016,107590451-107590924	107590017-107590450	Chtf8	20044.0	0	0	silent	5	3	0	unassembled
RSDL.83	chr9:67038533-67040841:+	chr9	67038533	67040841	+	1	2	1011	67038533-67038754,67040053-67040841	67038755-67040052	Gm19299	789.0	5	3	shared	5	3	0	unassembled
RSDL.84	chr1:171380354-171383745:-	chr1	171380354	171383745	-	1	2	2024	171380354-171382150,171383519-171383745	171382151-171383518	Gm35200	227.0	0	0	silent	5	2	0	unassembled
RSDL.85	chr12:114348178-114355289:+	chr12	114348178	114355289	+	1	2	339	114348178-114348355,114355129-114355289	114348356-114355128	Gm53771	11429.0	0	0	silent	5	2	0	unassembled
RSDL.86	chr17:48639873-48641767:+	chr17	48639873	48641767	+	1	2	550	48639873-48639989,48641335-48641767	48639990-48641334	Trem6l	5937.0	0	0	silent	5	2	0	unassembled
RSDL.87	chr3:5228302-5230793:-	chr3	5228302	5230793	-	1	2	530	5228302-5228715,5230678-5230793	5228716-5230677	2700069I18Rik	11917.0	2	2	shared	5	2	0	unassembled
RSDL.88	chr6:124047955-124050034:+	chr6	124047955	124050034	+	1	2	412	124047955-124048203,124049872-124050034	124048204-124049871	Vmn2r26	5438.0	4	3	shared	5	2	0	unassembled
RSDL.89	chr8:124421514-124422922:-	chr8	124421514	124422922	-	1	2	252	124421514-124421615,124422773-124422922	124421616-124422772	Gm45781	31738.0	1	3	shared	5	2	0	unassembled
RSDL.90	chr9:107240022-107254901:+	chr9	107240022	107254901	+	1	2	710	107240022-107240233,107254404-107254901	107240234-107254403	6430571L13Rik	10612.0	1	2	shared	5	2	0	unassembled
RSDL.91	chrX:169015360-169067542:+	chrX	169015360	169067542	+	1	2	459	169015360-169015433,169067158-169067542	169015434-169067157	Akap17a	30474.0	3	2	shared	4	4	0	unassembled
RSDL.92	chr12:56731530-56736634:-	chr12	56731530	56736634	-	1	2	2742	56731530-56732652,56735016-56736634	56732653-56735015	Gm15524	1619.0	3	4	shared	4	3	0	unassembled
RSDL.93	chr13:68035495-68041235:-	chr13	68035495	68041235	-	1	2	455	68035495-68035799,68041086-68041235	68035800-68041085	Gm61444	36356.0	1	1	shared	4	3	0	unassembled
RSDL.94	chr16:5107719-5111262:+	chr16	5107719	5111262	+	1	2	2386	5107719-5109719,5110878-5111262	5109720-5110877	Gm15983	2234.0	1	1	shared	4	3	0	unassembled
RSDL.95	chr16:91760738-91761524:-	chr16	91760738	91761524	-	1	2	504	91760738-91761034,91761318-91761524	91761035-91761317	Gm60892	16406.0	0	0	silent	4	3	0	unassembled
RSDL.96	chr16:94799492-94802564:+	chr16	94799492	94802564	+	1	2	439	94799492-94799583,94802218-94802564	94799584-94802217	Gm59865	16857.0	1	3	shared	4	3	0	unassembled
RSDL.97	chr17:15032670-15035186:+	chr17	15032670	15035186	+	1	2	428	15032670-15032748,15034838-15035186	15032749-15034837	Gm65048	3578.0	1	1	shared	4	3	0	unassembled
RSDL.98	chr6:72499149-72499650:-	chr6	72499149	72499650	-	1	2	389	72499149-72499272,72499386-72499650	72499273-72499385	Sh2d6	582.0	0	0	silent	4	3	0	unassembled
RSDL.99	chrX:8662193-8663031:-	chrX	8662193	8663031	-	1	2	239	8662193-8662331,8662932-8663031	8662332-8662931	ENSMUSG00000142802	33043.0	1	2	shared	4	3	0	unassembled
RSDL.100	chr10:79823596-79824409:+	chr10	79823596	79824409	+	1	2	723	79823596-79824096,79824188-79824409	79824097-79824187	Cnn2	222.0	1	3	shared	4	2	0	unassembled
RSDL.101	chr12:40202723-40206226:+	chr12	40202723	40206226	+	1	2	1859	40202723-40202941,40204587-40206226	40202942-40204586	Gm17056	44068.0	2	2	shared	4	2	0	unassembled
RSDL.102	chr12:96803062-96806842:-	chr12	96803062	96806842	-	1	2	3212	96803062-96804272,96804842-96806842	96804273-96804841	Gm6863	84355.0	4	3	shared	4	2	0	unassembled
RSDL.103	chr12:114907523-114907908:+	chr12	114907523	114907908	+	1	2	293	114907523-114907713,114907807-114907908	114907714-114907806	Gm9227	231688.0	0	0	silent	4	2	0	unassembled
RSDL.104	chr13:54552683-54560131:-	chr13	54552683	54560131	-	1	2	467	54552683-54552997,54559980-54560131	54552998-54559979	Gm16248	5850.0	1	1	shared	4	2	0	unassembled
RSDL.105	chr16:44900670-44903140:-	chr16	44900670	44903140	-	1	2	441	44900670-44901021,44903052-44903140	44901022-44903051	Gm60952	12106.0	1	1	shared	4	2	0	unassembled
RSDL.106	chr3:39152576-39169905:+	chr3	39152576	39169905	+	1	2	415	39152576-39152743,39169659-39169905	39152744-39169658	Fat4	86609.0	2	2	shared	4	2	0	unassembled
RSDL.107	chr4:47081200-47086722:+	chr4	47081200	47086722	+	1	2	1333	47081200-47081735,47085926-47086722	47081736-47085925	Galnt12	5979.0	0	0	silent	4	2	0	unassembled
RSDL.108	chr4:132841931-132843621:-	chr4	132841931	132843621	-	1	2	1611	132841931-132843350,132843431-132843621	132843351-132843430	Gm69953	19320.0	3	1	shared	4	2	0	unassembled
RSDL.109	chr5:148612814-148615241:-	chr5	148612814	148615241	-	1	2	1323	148612814-148613874,148614980-148615241	148613875-148614979	Gm71789	18615.0	1	1	shared	4	2	0	unassembled
RSDL.110	chr8:3714694-3715753:+	chr8	3714694	3715753	+	1	2	504	3714694-3714978,3715535-3715753	3714979-3715534	Mcemp1	219.0	0	0	silent	4	2	0	unassembled
RSDL.111	chr8:129342636-129349351:-	chr8	129342636	129349351	-	1	2	372	129342636-129342815,129349160-129349351	129342816-129349159	Gm64234	25910.0	0	0	silent	4	2	0	unassembled
RSDL.112	chr9:60700888-60701401:+	chr9	60700888	60701401	+	1	2	371	60700888-60701142,60701286-60701401	60701143-60701285	Uaca	442.0	1	2	shared	4	2	0	unassembled
RSDL.113	chr9:79344291-79349547:-	chr9	79344291	79349547	-	1	2	301	79344291-79344401,79349358-79349547	79344402-79349357	Gm10635	1869.0	0	0	silent	4	2	0	unassembled
RSDL.114	chrX:13208515-13211233:-	chrX	13208515	13211233	-	1	2	2573	13208515-13209912,13210059-13211233	13209913-13210058	Gm7129	16654.0	3	4	shared	4	2	0	unassembled
RSDL.115	chr15:73072310-73075842:-	chr15	73072310	73075842	-	1	2	2615	73072310-73074310,73075229-73075842	73074311-73075228	Ptk2	1603.0	0	0	silent	3	3	0	unassembled
RSDL.116	chr2:57754655-57755523:-	chr2	57754655	57755523	-	1	2	280	57754655-57754757,57755347-57755523	57754758-57755346	Gm74570	31446.0	0	0	silent	3	3	0	unassembled
RSDL.117	chr3:133011055-133013278:-	chr3	133011055	133013278	-	1	2	2096	133011055-133012716,133012845-133013278	133012717-133012844	Gm43254	434.0	1	3	shared	3	3	0	unassembled
RSDL.118	chr7:30581521-30584179:+	chr7	30581521	30584179	+	1	2	153	30581521-30581563,30584070-30584179	30581564-30584069	D7Ertd128e	386.0	0	0	silent	3	3	0	unassembled
RSDL.119	chr8:85010321-85011649:-	chr8	85010321	85011649	-	1	2	480	85010321-85010584,85011434-85011649	85010585-85011433	Yju2b	13541.0	0	0	silent	3	3	0	unassembled
RSDL.120	chr9:88254147-88258096:+	chr9	88254147	88258096	+	1	2	975	88254147-88254501,88257477-88258096	88254502-88257476	Nt5e	355.0	3	2	shared	3	3	0	unassembled
RSDL.121	chr1:64401946-64403502:+	chr1	64401946	64403502	+	1	2	619	64401946-64402006,64402945-64403502	64402007-64402944	Gm56116	32548.0	1	2	shared	3	2	0	unassembled
RSDL.122	chr1:155360777-155362137:-	chr1	155360777	155362137	-	1	2	215	155360777-155360908,155362055-155362137	155360909-155362054	Gm5532	19943.0	0	0	silent	3	2	0	unassembled
RSDL.123	chr10:57080418-57089348:+	chr10	57080418	57089348	+	1	2	2147	57080418-57080641,57087426-57089348	57080642-57087425	Gm24285	30416.0	0	0	silent	3	2	0	unassembled
RSDL.124	chr11:77079795-77089884:-	chr11	77079795	77089884	-	1	2	373	77079795-77080082,77089800-77089884	77080083-77089799	Efcab5	288.0	1	4	shared	3	2	0	unassembled
RSDL.125	chr11:88092286-88094126:+	chr11	88092286	88094126	+	1	2	142	88092286-88092315,88094015-88094126	88092316-88094014	Mrps23	1161.0	0	0	silent	3	2	0	unassembled
RSDL.126	chr11:106506574-106515114:-	chr11	106506574	106515114	-	1	2	548	106506574-106506904,106514898-106515114	106506905-106514897	Tex2	2655.0	2	1	shared	3	2	0	unassembled
RSDL.127	chr11:118262483-118265065:-	chr11	118262483	118265065	-	1	2	842	118262483-118262838,118264580-118265065	118262839-118264579	Lgals3bp	16136.0	0	0	silent	3	2	0	unassembled
RSDL.128	chr14:56331514-56337337:-	chr14	56331514	56337337	-	1	2	849	56331514-56332032,56337008-56337337	56332033-56337007	Ctsg	330.0	0	0	silent	3	2	0	unassembled
RSDL.129	chr15:60843284-60844107:+	chr15	60843284	60844107	+	1	2	425	60843284-60843636,60844036-60844107	60843637-60844035	4930402D18Rik	16467.0	0	0	silent	3	2	0	unassembled
RSDL.130	chr16:19057144-19058335:+	chr16	19057144	19058335	+	1	2	182	19057144-19057195,19058206-19058335	19057196-19058205	Gm56600	1719.0	4	3	shared	3	2	0	unassembled
RSDL.131	chr16:45028532-45030684:-	chr16	45028532	45030684	-	1	2	597	45028532-45028923,45030480-45030684	45028924-45030479	Gm60499	34626.0	0	0	silent	3	2	0	unassembled
RSDL.132	chr17:14772411-14815564:-	chr17	14772411	14815564	-	1	2	322	14772411-14772649,14815482-14815564	14772650-14815481	Gm65682	29267.0	0	0	silent	3	2	0	unassembled
RSDL.133	chr17:36187133-36188610:+	chr17	36187133	36188610	+	1	2	483	36187133-36187321,36188317-36188610	36187322-36188316	Ppp1r18	833.0	0	0	silent	3	2	0	unassembled
RSDL.134	chr17:43660958-43662989:-	chr17	43660958	43662989	-	1	2	1175	43660958-43662056,43662914-43662989	43662057-43662913	Gm64964	36822.0	2	2	shared	3	2	0	unassembled
RSDL.135	chr17:44731222-44734428:-	chr17	44731222	44734428	-	1	2	479	44731222-44731438,44734167-44734428	44731439-44734166	Gm65767	31486.0	2	2	shared	3	2	0	unassembled
