gene_rank	locus_id	locus_coord	chrom	n_exons	length_nt	nearest_gene_name	nearest_distance_bp	treat_median_tpm	control_max_tpm	treat_n_detected	junction_support	longest_orf_aa	coding_score	coding_label	gene_score	gene_flags	phylop_mean	pfam_name	pfam_desc
16	RSDL.40	chr2:157245001-157249068:+	chr2	2	335	Manbal	3275	5.29853	1.724784	4	3	16	0.454956	coding	70.0	no_orf	0.0042248059701492		
17	RSDL.49	chr1:45064663-45068120:+	chr1	2	1488	Gm5268	149106	4.8101605	4.659698	4	2	108	-0.022093	noncoding	69.57349803238668		0.0693730812274368		
18	RSDL.52	chr10:108134177-108134820:+	chr10	2	539	Ppp1r12a	13840	0.980037	0.642005	3	2	95	-0.040957	noncoding	67.89116746864623		0.0676716023376623		
19	RSDL.87	chr8:42870700-42874135:+	chr8	2	161	Gm6180	170254	0.829215	1.820335	2	2	41	0.087529	coding	67.23109987500787	no_orf	-0.073702950931677		
20	RSDL.84	chr5:103541720-103549002:+	chr5	2	903	Gm73323	14284	0.5881805	1.353138	3	2	80	-0.024974	noncoding	67.15488024471877		0.073684619054054		
21	RSDL.63	chr15:19159115-19159992:-	chr15	2	147	Gm62277	89025	0.908188	2.078034	2	2	21	0.101503	coding	66.94951686066184	no_orf	-0.0536097278911564		
22	RSDL.19	chr4:47081200-47086722:+	chr4	2	1333	Galnt12	5182	1.734158	0.916642	4	4	77	-0.09211	noncoding	66.56458120883953		0.0570525129782445		
23	RSDL.6	chr4:56457723-56542386:-	chr4	3	273	Gm69782	66521	2.0658895	1.267549	3	3,1	74	-0.122969	noncoding	66.52296529791228	weak_splice	0.0985529172161172		
24	RSDL.70	chr18:5856990-5857761:+	chr18	2	165	Gm58432	33152	0.791615	0.0	2	2	23	0.200126	coding	66.52052283363054	no_orf	-0.0052073939393939		
25	RSDL.12	chr12:114348178-114355289:+	chr12	2	339	Gm53771	11251	1.4375559999999998	2.703283	4	5	32	0.402193	coding	66.05122972349317	no_orf,close_any	-0.1849382006578171		
26	RSDL.41	chr3:87122701-87124553:-	chr3	2	814	Gm10705	7388	4.149725500000001	5.040584	4	3	61	-0.090077	noncoding	65.91858566655877		-0.1132048		
27	RSDL.23	chrX:134880835-134881588:+	chrX	2	537	Gm15016	7707	2.150558	3.274569	3	4	51	-0.094274	noncoding	65.43694170598341		-0.0957282562383612		
28	RSDL.21	chr8:129342636-129349351:-	chr8	2	372	Gm64234	25730	0.9511505	1.860434	2	4	64	-0.021197	noncoding	62.61045666479732		0.0546143547150537		
29	RSDL.28	chr1:155360777-155362137:-	chr1	2	215	Gm5532	19860	2.042538	1.420795	3	3	54	-0.136011	noncoding	61.99800111140752		-0.0045135665116278		
30	RSDL.64	chr15:51276007-51276748:+	chr15	2	224	Gm62944	256710	1.1791075	0.0	3	2	1		noncoding	60.40944447847646	no_orf	0.0043260433035714		
31	RSDL.17	chr12:114907523-114907908:+	chr12	2	293	Gm9227	231586	0.4556435	1.000252	2	4	31	-0.170114	noncoding	60.36471417687438	no_orf			
32	RSDL.79	chr2:173949601-173950415:+	chr2	2	285	Npepl1	1328	0.0	2.428356	1	1	27	0.059238	coding	60.0	weak_splice,no_orf	0.4732080368421053		
33	RSDL.25	chr2:57754655-57755523:-	chr2	2	280	Gm74570	31343	0.943286	0.0	3	3	41	-0.163233	noncoding	59.49615441865066	no_orf	-0.0269675469285714		
34	RSDL.35	chr17:14772411-14815564:-	chr17	2	322	Gm65682	29184	0.949199	6.280462	3	3	31	-0.061694	noncoding	59.46515969764618	no_orf	-0.2628455481366459		
35	RSDL.33	chr15:60843284-60844107:+	chr15	2	425	4930402D18Rik	16114	0.307333	1.628427	2	3	26	-0.185314	noncoding	59.20723030984836	no_orf	-0.2161891503529411		
36	RSDL.27	chr8:85010321-85011649:-	chr8	2	480	Yju2b	13277	0.989361	1.909194	3	3	34	-0.006342	noncoding	59.1231326643109	no_orf	0.004211447575		
37	RSDL.76	chr2:126718555-126724349:+	chr2	2	798	Gm14212	11306	0.549056	1.73454	4	2	49	-0.228854	noncoding	59.05334739216927	no_orf	0.456972149112426		
38	RSDL.85	chr6:39272846-39274836:-	chr6	2	632	Gm53067	7938	1.6762145	2.190131	4	2	61	-0.153287	noncoding	57.94976580194438	close_any	0.2638420506049149		
39	RSDL.42	chr6:22521529-22523139:+	chr6	2	594	Gm67965	81249	12.621993	19.242228	4	3	37	-0.341506	noncoding	54.90982336965091	no_orf	0.0222432021885521		
40	RSDL.86	chr6:41174289-41178931:-	chr6	2	287	Gm67876	75509	5.58491	12.057169	4	2	39	-0.487941	noncoding	54.87800447026802	no_orf			
41	RSDL.58	chr12:103465626-103469675:+	chr12	2	531	Gm47267	12580	1.475372	2.60671	4	2	37	-0.493535	noncoding	54.09971516235103	no_orf			
42	RSDL.39	chr2:152933770-152934332:-	chr2	2	189	Gm74550	7650	0.9107855	3.057156	2	3	20	-0.272665	noncoding	50.88371820196396	no_orf			
43	RSDL.22	chr9:79344291-79349547:-	chr9	2	301	Gm10635	1679	0.8678835	0.0	2	4	19	-0.332631	noncoding	50.0	no_orf			
44	RSDL.89	chr9:96261577-96269214:-	chr9	2	275	Gm68800	3530	0.0	1.25833	1	1	40	-0.134193	noncoding	45.0	weak_splice,no_orf			
45	RSDL.48	chr1:10385123-10393630:+	chr1	2	3381	Gm70170	78792	29.0932765	57.826982	4	2	234	-0.254779	noncoding	25.59648763631685	te	-0.112645103716753	TLV_coat	ENV polyprotein (coat polyprotein)
